  PERMNO        date             ba        vwretd        ewretd        sprtrn
   19561    19870630       0.035912      0.043662      0.021487      0.047915
   19561    19870731       0.130667      0.044248      0.035123      0.048224
   19561    19870831       0.001887      0.037146      0.014544      0.034959
   19561    19870930      -0.035545     -0.020774     -0.015876     -0.024166
   19561    19871030      -0.240786     -0.225363     -0.272248     -0.217630
   19561    19871130      -0.100971     -0.072273     -0.050850     -0.085349
   19561    19871231       0.076364      0.070327      0.026065      0.072861
   19561    19880129       0.236486      0.044880      0.077392      0.040432
   19561    19880229       0.045902      0.051695      0.060265      0.041817
   19561    19880331      -0.021053     -0.016598      0.035690     -0.033343
   19561    19880429       0.032258      0.010991      0.014016      0.009425
   19561    19880531       0.154167      0.000448     -0.017671      0.003176
   19561    19880630       0.068182      0.051460      0.047677      0.043256
   19561    19880729       0.029787     -0.007272      0.000289     -0.005411
   19561    19880831      -0.018182     -0.028006     -0.025001     -0.038600
   19561    19880930       0.086864      0.037202      0.016951      0.039729
   19561    19881031       0.011696      0.017637     -0.011485      0.025964
   19561    19881130      -0.038150     -0.016412     -0.036484     -0.018891
   19561    19881230      -0.022177      0.021075      0.018872      0.014688
   19561    19890131       0.045361      0.066103      0.062124      0.071115
   19561    19890228      -0.017357     -0.016446      0.002988     -0.028944
   19561    19890331       0.103030      0.021465      0.018060      0.020806
   19561    19890428       0.111722      0.048204      0.029089      0.050090
   19561    19890531       0.065239      0.039338      0.025054      0.035138
   19561    19890630      -0.104199     -0.004866     -0.007744     -0.007925
   19561    19890731       0.091146      0.077131      0.031017      0.088370
   19561    19890831       0.051074      0.022127      0.018626      0.015517
   19561    19890929       0.041096     -0.001474      0.005532     -0.006544
   19561    19891031      -0.013158     -0.029281     -0.049934     -0.025175
   19561    19891130       0.072000      0.017815     -0.005800      0.016541
   19561    19891229      -0.010417      0.018295     -0.012375      0.021417
   19561    19900131      -0.002105     -0.070115     -0.046408     -0.068817
   19561    19900228       0.083122      0.014901      0.015434      0.008539
   19561    19900330       0.123288      0.024140      0.021315      0.024255
   19561    19900430      -0.027875     -0.028286     -0.028117     -0.026887
   19561    19900531       0.189964      0.088936      0.045675      0.091989
   19561    19900629       0.062027     -0.004196      0.005359     -0.008886
   19561    19900731      -0.012821     -0.009405     -0.025732     -0.005223
   19561    19900831      -0.160173     -0.091896     -0.108911     -0.094314
   19561    19900928      -0.137306     -0.053843     -0.080468     -0.051184
   19561    19901031       0.075075     -0.012504     -0.057155     -0.006698
   19561    19901130      -0.005587      0.065744      0.035468      0.059934
   19561    19901231       0.025424      0.029513     -0.004526      0.024828
   19561    19910131       0.088154      0.049078      0.084175      0.041518
   19561    19910228      -0.017722      0.075847      0.133898      0.067281
   19561    19910328      -0.025907      0.028923      0.078293      0.022203
   19561    19910430      -0.026596      0.003322      0.031962      0.000346
   19561    19910531       0.073770      0.040732      0.031385      0.038577
   19561    19910628      -0.063939     -0.044029     -0.031773     -0.047893
   19561    19910731       0.013661      0.046795      0.034202      0.044859
   19561    19910830       0.078167      0.026819      0.027507      0.019649
   19561    19910930       0.020101     -0.010975      0.008130     -0.019144
   19561    19911031      -0.029557      0.017789      0.024639      0.011860
   19561    19911129      -0.096447     -0.037275     -0.023735     -0.043928
   19561    19911231       0.079096      0.106778      0.035353      0.111588
   19561    19920131       0.065445     -0.001182      0.149970     -0.019900
   19561    19920228      -0.090909      0.013354      0.052124      0.009565
   19561    19920331      -0.046196     -0.023700     -0.014169     -0.021832
   19561    19920430       0.002849      0.013419     -0.033262      0.027893
   19561    19920529       0.002841      0.006439      0.005678      0.000964
   19561    19920630      -0.091168     -0.019287     -0.039215     -0.017359
   19561    19920731       0.003135      0.039900      0.027617      0.039374
   19561    19920831      -0.062500     -0.020820     -0.023900     -0.023998
   19561    19920930      -0.013423      0.012447      0.011050      0.009106
   19561    19921030      -0.020408      0.010986      0.016224      0.002106
   19561    19921130      -0.017361      0.040193      0.066686      0.030262
   19561    19921231       0.142349      0.017768      0.035677      0.010108
   19561    19930129      -0.121495      0.012643      0.067612      0.007046
   19561    19930226      -0.017730      0.005402     -0.007198      0.010484
   19561    19930331       0.018182      0.025116      0.031465      0.018697
   19561    19930430       0.085714     -0.025400     -0.011112     -0.025417
   19561    19930528       0.049342      0.029598      0.038740      0.022717
   19561    19930630      -0.066246      0.005440      0.013419      0.000755
   19561    19930730       0.064189     -0.000795      0.013719     -0.005327
   19561    19930831       0.012698      0.039479      0.039698      0.034432
   19561    19930930      -0.031546      0.000641      0.025507     -0.009988
   19561    19931029      -0.022801      0.018064      0.040518      0.019393
