    DATE        PS_LEVEL        PS_INNOV          PS_VWF
20000428    -0.224257305    -0.218969592    -0.044551951
20000531     0.057881525     0.079985643    -0.029076911
20000630    -0.180084977    -0.154745852    -0.033724911
20000731     0.048889561     -0.06005701     0.107500159
20000831    -0.071211337     0.005801382    -0.015118978
20000929    -0.165517654    -0.126186688    -0.040992249
20001031     -0.13128308     0.006639783      0.02135947
20001130    -0.158426987    -0.136205774    -0.041861094
20001229     0.094589604     0.060761293      0.00857958
20010131    -0.121497554    -0.028582935     0.066175238
20010228    -0.049624217    -0.064317082     0.046992082
20010330    -0.055132384     0.027186781     0.073106646
20010430    -0.071088403      0.09697216     0.002211758
20010531     0.099254278     0.114936302     0.029434636
20010629     0.018838223     0.090171703    -0.001891264
20010731    -0.057640525    -0.009027297     0.036260579
20010831    -0.059307968     0.056204362     0.047505459
20010928    -0.037630875     -0.11733463    -0.101429608
20011031      0.06931297     0.101570872     0.028723985
20011130     0.026300475    -0.002429082     0.035637081
20011231     0.011857823     0.057884818      0.07016254
20020131    -0.066399823    -0.009672618    -0.011631379
20020228     -0.01284942    -0.009825745     0.018013752
20020328     0.062434571     0.030280772     0.087615886
20020430    -0.107336654    -0.027753624     0.051473734
20020531    -0.034168697    -0.042953686      0.05068499
20020628    -0.116846979    -0.057005379    -0.011885971
20020731    -0.049831681     0.003663098    -0.050449946
20020830     -0.01335859    -0.000297702       0.0039075
20020930    -0.170705069    -0.097950484     -0.00857264
20021031    -0.333629091    -0.149203376     0.032802567
20021129    -0.034880696     0.035472598     0.029854944
20021231    -0.169124756     0.003394061    -0.011653191
20030131    -0.084675115    -0.080396898    -0.029669337
20030228    -0.039299441    -0.035725857    -0.004154132
20030331    -0.107632231    -0.066600544    -0.002544365
20030430    -0.048785918    -0.003164591     0.060070651
20030530       0.0243809     0.019907244     0.014705363
20030630    -0.018698792     0.000914249    -0.017556723
20030731    -0.030032575     0.024308594     0.065517017
20030829     0.014239756     0.027670562     0.014431543
20030930    -0.106193949    -0.033420208     0.015921312
20031031    -0.041137112     0.005244452     0.023020098
20031128    -0.033497553    -0.005424317      -0.0108408
20031231    -0.019514244     0.045236203    -0.005128619
20040130    -0.108782883     -0.02100369    -0.048084657
20040227    -0.036674018    -0.056964352     0.021753624
20040331     0.020609469     0.071309578     0.018244915
20040430     -0.04982395     0.015061793     0.000365996
20040528     0.002389608     -0.01538987    -0.001346337
20040630      0.05725297     0.110344758     0.021203195
20040730    -0.032610132     -0.00072766      0.06513396
20040831    -0.002730986     0.033862552     0.060847926
20040930    -0.042488394    -0.008329274      0.00182956
20041029     0.023002051     0.030113275    -0.002319299
20041130    -0.012462769     0.028271022     0.005671361
20041231    -0.071758316    -0.030598505     -0.02808989
20050131    -0.007269829     0.007231558     0.032767077
20050228     -0.05468972    -0.002073548     0.044091417
20050331    -0.019307245     0.003457892     0.001348217
20050429    -0.127100878     -0.09665418    -0.049221959
20050531      0.00535905     0.052540545      0.00409488
20050630      0.00692278     0.084335345     0.049122167
20050729     0.044920157     0.044188529     0.023835346
20050831    -0.002211558     0.016616036     0.014052076
20050930    -0.025552418    -0.017841819     0.022321308
20051031    -0.062892028    -0.001296299     -0.03792053
20051130     0.134075054     0.104277159     0.008729196
20051230    -0.034083477    -0.075965173    -0.008507948
20060131    -0.058987315      -0.0500534     0.052626691
20060228    -0.057830776    -0.036774767    -0.011239697
20060331    -0.008709666     0.036299415      0.00240853
20060428    -0.065581598     0.020869511      0.00396107
20060531     0.049111115     0.101014003     0.016686992
20060630    -0.069104532     0.063292569     0.013553546
20060731     0.034366262     0.003169795     0.038383741
20060831      0.01089354    -0.042720423    -0.026504701
20060929    -0.080612087    -0.044467912     0.007439687
20061031     0.031744285     0.059433792     0.044322536
20061130    -0.012974426     0.039756395     0.018420749
20061229     0.026641222     0.024470003    -0.015173393
20070131     0.042704924     0.016250435     0.015116366
20070228     0.002368974     0.046484345      0.04218841
20070330    -0.034428903    -0.022911114     0.015695637
20070430    -0.010771593     0.010201138     0.005889314
20070531     0.053820427     0.072065579    -0.018146442
20070629      0.06769885     0.086225874     0.039753162
20070731    -0.008159848    -0.024132917     0.002239109
20070831     -0.15103969     -0.19357369    -0.011615443
20070928    -0.050594633     -0.03426718     0.035101113
20071031    -0.188882629    -0.042822907     0.017658038
20071130    -0.155189401     -0.01814752    -0.005031423
20071231    -0.025413119     0.028641335     0.013838432
20080131     -0.16037892    -0.058636643     -0.02707223
20080229     0.085976647    -0.008571695    -0.008390869
20080331    -0.285250499      -0.1503977     0.035815191
20080430     0.038074819     0.126380438     0.062133308
20080530    -0.014596554    -0.016147015     0.047092622
20080630    -0.111848927    -0.044710536     0.044557247
20080731    -0.176769637    -0.064873047    -0.052938927
20080829    -0.008383772     0.019168311    -0.006930166
20080930    -0.077545955    -0.221527094    -0.048314738
20081031    -0.238604531    -0.063507089    -0.100039634
20081128     0.068119647     0.126111063    -0.045369362
20081231    -0.303583949    -0.194232642    -0.017140899
20090130    -0.074238739    -0.181322684     0.210060013
20090227     -0.04322216      0.02485589     0.119307045
20090331    -0.096447704    -0.029191469     -0.09409861
20090430    -0.094685449    -0.040446496    -0.059517747
20090529    -0.064766203     0.072457833    -0.015697413
20090630    -0.040522535     0.017904656    -0.026748888
20090731      0.07855827     0.041216151     0.010348383
20090831    -0.025714657    -0.011336109    -0.086342265
20090930     0.009844829     0.066096782         0.09284
