  PERMNO        date            ge         vwretd        ewretd        sprtrn
   12060    20130328      -0.004307      0.035274      0.031412      0.035988
   12060    20130430      -0.035900      0.014945      0.002477      0.018086
   12060    20130531       0.046209      0.019066      0.023973      0.020763
   12060    20130628       0.002573     -0.015039     -0.013013     -0.014999
   12060    20130731       0.050884      0.052681      0.054898      0.049462
   12060    20130830      -0.050472     -0.025714     -0.017278     -0.031298
   12060    20130930       0.040622      0.037477      0.051809      0.029749
   12060    20131031       0.094182      0.039852      0.025762      0.044596
   12060    20131129       0.019893      0.024946      0.023398      0.028049
   12060    20131231       0.059640      0.026126      0.025220      0.023563
